Year,Coach,Team,Games Played,Wins,Losses,Tie,Win %,Points Scored,Points Against,Point Differential
2013,Jason Garrett,Cowboys,16,8,8,0,0.5000,439,432,7
2014,Jason Garrett,Cowboys,16,12,4,0,0.7500,467,352,115
2015,Jason Garrett,Cowboys,16,4,12,0,0.2500,275,374,-99
2016,Jason Garrett,Cowboys,16,13,3,0,0.8125,421,306,115
2017,Jason Garrett,Cowboys,16,9,7,0,0.5625,354,332,22
2018,Jason Garrett,Cowboys,16,10,6,0,0.6250,339,324,15
2019,Jason Garrett,Cowboys,16,8,8,0,0.5000,434,321,113
2020,Mike McCarthy,Cowboys,16,6,10,0,0.3750,395,473,-78
2021,Mike McCarthy,Cowboys,17,12,5,0,0.7059,530,358,172
2022,Mike McCarthy,Cowboys,17,12,5,0,0.7059,467,342,125
2023,Mike McCarthy,Cowboys,17,12,5,0,0.7059,509,315,194
2002,Jim Fassel,Giants,16,10,6,0,0.6250,320,279,41
2003,Jim Fassel,Giants,16,4,12,0,0.2500,243,387,-144
2004,Tom Coughlin,Giants,16,6,10,0,0.3750,303,347,-44
2005,Tom Coughlin,Giants,16,11,5,0,0.6875,422,314,108
2006,Tom Coughlin,Giants,16,8,8,0,0.5000,355,362,-7
2007,Tom Coughlin,Giants,16,10,6,0,0.6250,373,351,22
2008,Tom Coughlin,Giants,16,12,4,0,0.7500,427,294,133
2009,Tom Coughlin,Giants,16,8,8,0,0.5000,402,427,-25
2010,Tom Coughlin,Giants,16,10,6,0,0.6250,394,347,47
2011,Tom Coughlin,Giants,16,9,7,0,0.5625,394,400,-6
2012,Tom Coughlin,Giants,16,9,7,0,0.5625,429,344,85
2013,Tom Coughlin,Giants,16,7,9,0,0.4375,294,383,-89
2014,Tom Coughlin,Giants,16,6,10,0,0.3750,380,400,-20
2015,Tom Coughlin,Giants,16,6,10,0,0.3750,420,442,-22
2016,Ben McAdoo,Giants,16,11,5,0,0.6875,310,284,26
2017,Ben McAdoo,Giants,12,2,10,0,0.1667,189,291,-102
2017,Steve Spagnuolo,Giants,4,1,3,0,0.2500,57,97,-40
2018,Pat Shurmur,Giants,16,5,11,0,0.3125,369,412,-43
2019,Pat Shurmur,Giants,16,4,12,0,0.2500,341,451,-110
2020,Joe Judge,Giants,16,6,10,0,0.3750,280,357,-77
2021,Joe Judge,Giants,17,4,13,0,0.2353,258,416,-158
2022,Brian Daboll,Giants,17,9,7,1,0.5625,365,371,-6
2023,Brian Daboll,Giants,17,6,11,0,0.3529,266,407,-141
2002,Andy Reid,Eagles,16,12,4,0,0.7500,415,241,174
2003,Andy Reid,Eagles,16,12,4,0,0.7500,374,287,87
2004,Andy Reid,Eagles,16,13,3,0,0.8125,386,260,126
2005,Andy Reid,Eagles,16,6,10,0,0.3750,310,388,-78
2006,Andy Reid,Eagles,16,10,6,0,0.6250,398,328,70
2007,Andy Reid,Eagles,16,8,8,0,0.5000,336,300,36
2008,Andy Reid,Eagles,15,9,6,0,0.6000,416,289,127
2009,Andy Reid,Eagles,16,11,5,0,0.6875,429,337,92
2010,Andy Reid,Eagles,16,10,6,0,0.6250,439,377,62
2011,Andy Reid,Eagles,16,8,8,0,0.5000,396,328,68
2012,Andy Reid,Eagles,16,4,12,0,0.2500,280,444,-164
2013,Chip Kelly,Eagles,16,10,6,0,0.6250,442,382,60
2014,Chip Kelly,Eagles,16,10,6,0,0.6250,474,400,74
2015,Chip Kelly,Eagles,15,6,9,0,0.4000,342,400,-58
2015,Pat Shurmur,Eagles,1,1,0,0,1.0000,35,30,5
2016,Doug Pederson,Eagles,16,7,9,0,0.4375,367,331,36
2017,Doug Pederson,Eagles,16,13,3,0,0.8125,457,295,162
2018,Doug Pederson,Eagles,16,9,7,0,0.5625,367,348,19
2019,Doug Pederson,Eagles,16,9,7,0,0.5625,385,354,31
2020,Doug Pederson,Eagles,16,4,11,1,0.2667,334,418,-84
2021,Nik Sirianni,Eagles,17,9,8,0,0.5294,444,385,59
2022,Nik Sirianni,Eagles,17,14,3,0,0.8235,477,344,133
2023,Nik Sirianni,Eagles,17,11,6,0,0.6471,433,428,5
2002,Steve Spurrier,Commanders,16,7,9,0,0.4375,307,367,-60
2003,Steve Spurrier,Commanders,16,5,11,0,0.3125,287,372,-85
2004,Joe Gibbs,Commanders,16,6,10,0,0.3750,240,265,-25
2005,Joe Gibbs,Commanders,16,10,6,0,0.6250,359,293,66
2006,Joe Gibbs,Commanders,16,5,11,0,0.3125,307,376,-69
2007,Joe Gibbs,Commanders,16,9,7,0,0.5625,334,310,24
2008,Jim Zorn,Commanders,16,8,8,0,0.5000,265,296,-31
2009,Jim Zorn,Commanders,16,4,12,0,0.2500,266,336,-70
2010,Mike Shanahan,Commanders,16,6,10,0,0.3750,302,377,-75
2011,Mike Shanahan,Commanders,16,5,11,0,0.3125,288,367,-79
2012,Mike Shanahan,Commanders,16,10,6,0,0.6250,436,388,48
2013,Mike Shanahan,Commanders,16,3,13,0,0.1875,334,478,-144
2014,Jay Gruden,Commanders,16,4,12,0,0.2500,301,438,-137
2015,Jay Gruden,Commanders,16,9,7,0,0.5625,388,379,9
2016,Jay Gruden,Commanders,16,8,7,1,0.5333,396,383,13
2017,Jay Gruden,Commanders,16,7,9,0,0.4375,342,388,-46
2018,Jay Gruden,Commanders,16,7,9,0,0.4375,281,359,-78
2019,Jay Gruden,Commanders,5,0,5,0,0.0000,73,151,-78
2019,Bill Callahan,Commanders,11,3,8,0,0.2727,193,284,-91
2020,Ron Rivera,Commanders,16,7,9,0,0.4375,335,329,6
2021,Ron Rivera,Commanders,17,7,10,0,0.4118,335,434,-99
2022,Ron Rivera,Commanders,17,8,8,1,0.5000,321,343,-22
2023,Ron Rivera,Commanders,17,4,13,0,0.2353,329,518,-189
2002,Dave McGinnis,Cardinals,16,5,11,0,0.3125,262,417,-155
2003,Dave McGinnis,Cardinals,16,4,12,0,0.2500,225,452,-227
2004,Dennis Green,Cardinals,16,6,10,0,0.3750,284,322,-38
2005,Dennis Green,Cardinals,16,5,11,0,0.3125,311,387,-76
2006,Dennis Green,Cardinals,16,5,11,0,0.3125,314,389,-75
2007,Ken Whisenhunt,Cardinals,16,8,8,0,0.5000,404,399,5
2008,Ken Whisenhunt,Cardinals,16,9,7,0,0.5625,427,426,1
2009,Ken Whisenhunt,Cardinals,16,10,6,0,0.6250,375,325,50
2010,Ken Whisenhunt,Cardinals,16,5,11,0,0.3125,289,434,-145
2011,Ken Whisenhunt,Cardinals,16,8,8,0,0.5000,312,348,-36
2012,Ken Whisenhunt,Cardinals,16,5,11,0,0.3125,250,357,-107
2013,Bruce Arians,Cardinals,16,10,6,0,0.6250,379,324,55
2014,Bruce Arians,Cardinals,16,11,5,0,0.6875,310,299,11
2015,Bruce Arians,Cardinals,16,13,3,0,0.8125,489,313,176
2016,Bruce Arians,Cardinals,16,7,8,1,0.4667,418,362,56
2017,Bruce Arians,Cardinals,16,8,8,0,0.5000,295,361,-66
2018,Steve Wilks,Cardinals,16,3,13,0,0.1875,225,425,-200
2019,Kliff Kingsburry,Cardinals,16,5,10,1,0.3333,361,442,-81
2020,Kliff Kingsburry,Cardinals,16,8,8,0,0.5000,410,367,43
2021,Kliff Kingsburry,Cardinals,17,11,6,0,0.6471,449,366,83
2022,Kliff Kingsburry,Cardinals,17,4,13,0,0.2353,340,449,-109
2023,Jonathan Gannon,Cardinals,17,4,13,0,0.2353,330,455,-125
2002,Mike Martz,Rams,16,7,9,0,0.4375,316,369,-53
2003,Mike Martz,Rams,16,12,4,0,0.7500,447,328,119
2004,Mike Martz,Rams,16,8,8,0,0.5000,319,392,-73
2005,Mike Martz,Rams,5,2,3,0,0.4000,128,148,-20
2005,Joe Vitt,Rams,11,4,7,0,0.3636,235,281,-46
2006,Scott Linehan,Rams,16,8,8,0,0.5000,367,381,-14
2007,Scott Linehan,Rams,16,3,13,0,0.1875,263,438,-175
2008,Scott Linehan,Rams,4,0,4,0,0.0000,43,147,-104
2008,Jim Haslett,Rams,12,2,10,0,0.1667,189,318,-129
2009,Steve Spagnuolo,Rams,16,1,15,0,0.0625,175,436,-261
2010,Steve Spagnuolo,Rams,16,7,9,0,0.4375,289,328,-39
2011,Steve Spagnuolo,Rams,16,2,14,0,0.1250,193,407,-214
2012,Jeff Fisher,Rams,16,7,8,1,0.4667,299,348,-49
2013,Jeff Fisher,Rams,16,7,9,0,0.4375,348,364,-16
2014,Jeff Fisher,Rams,16,6,10,0,0.3750,324,354,-30
2015,Jeff Fisher,Rams,16,7,9,0,0.4375,280,330,-50
2016,Jeff Fisher,Rams,13,4,9,0,0.3077,194,304,-110
2016,John Fassel,Rams,3,0,3,0,0.0000,30,90,-60
2017,Sean McVay,Rams,16,11,5,0,0.6875,478,329,149
2018,Sean McVay,Rams,16,13,3,0,0.8125,527,384,143
2019,Sean McVay,Rams,16,9,7,0,0.5625,394,364,30
2020,Sean McVay,Rams,16,10,6,0,0.6250,372,296,76
2021,Sean McVay,Rams,17,12,5,0,0.7059,460,372,88
2022,Sean McVay,Rams,17,5,12,0,0.2941,307,384,-77
2023,Sean McVay,Rams,17,10,7,0,0.5882,404,377,27
2002,Mike Holmgren,Seahawks,16,7,9,0,0.4375,355,369,-14
2003,Mike Holmgren,Seahawks,16,10,6,0,0.6250,404,327,77
2004,Mike Holmgren,Seahawks,16,9,7,0,0.5625,371,373,-2
2005,Mike Holmgren,Seahawks,16,13,3,0,0.8125,452,271,181
2006,Mike Holmgren,Seahawks,16,9,7,0,0.5625,335,341,-6
2007,Mike Holmgren,Seahawks,16,10,6,0,0.6250,393,291,102
2008,Mike Holmgren,Seahawks,16,4,12,0,0.2500,294,392,-98
2009,Jim Mora,Seahawks,16,5,11,0,0.3125,280,390,-110
2010,Pete Carroll,Seahawks,16,7,9,0,0.4375,310,407,-97
2011,Pete Carroll,Seahawks,16,7,9,0,0.4375,321,315,6
2012,Pete Carroll,Seahawks,16,11,5,0,0.6875,412,245,167
2013,Pete Carroll,Seahawks,16,13,3,0,0.8125,417,231,186
2014,Pete Carroll,Seahawks,16,12,4,0,0.7500,394,254,140
2015,Pete Carroll,Seahawks,16,10,6,0,0.6250,423,277,146
2016,Pete Carroll,Seahawks,16,10,5,1,0.6667,354,292,62
2017,Pete Carroll,Seahawks,16,9,7,0,0.5625,366,332,34
2018,Pete Carroll,Seahawks,16,10,6,0,0.6250,428,347,81
2019,Pete Carroll,Seahawks,16,11,5,0,0.6875,405,398,7
2020,Pete Carroll,Seahawks,16,12,4,0,0.7500,459,371,88
2021,Pete Carroll,Seahawks,17,7,10,0,0.4118,395,366,29
2022,Pete Carroll,Seahawks,17,9,8,0,0.5294,407,401,6
2023,Pete Carroll,Seahawks,17,9,8,0,0.5294,364,402,-38
2002,Steve Mariucci,49ers,16,10,6,0,0.6250,367,351,16
2003,Dennis Erickson,49ers,16,7,9,0,0.4375,384,337,47
2004,Mike Nolan,49ers,16,2,14,0,0.1250,259,452,-193
2005,Mike Nolan,49ers,16,4,12,0,0.2500,239,428,-189
2006,Mike Nolan,49ers,16,7,9,0,0.4375,298,412,-114
2007,Mike Nolan,49ers,16,5,11,0,0.3125,219,364,-145
2008,Mike Nolan,49ers,7,2,5,0,0.2857,158,196,-38
2008,Mike Singletary,49ers,9,5,4,0,0.5556,181,185,-4
2009,Mike Singletary,49ers,16,8,8,0,0.5000,330,281,49
2010,Mike Singletary,49ers,15,5,10,0,0.3333,267,339,-72
2010,Jim Tomsula,49ers,1,1,0,0,1.0000,38,7,31
2011,Jim Harbaugh,49ers,16,13,3,0,0.8125,380,229,151
2012,Jim Harbaugh,49ers,16,11,4,1,0.7333,397,273,124
2013,Jim Harbaugh,49ers,16,12,4,0,0.7500,406,272,134
2014,Jim Harbaugh,49ers,16,8,8,0,0.5000,306,340,-34
2015,Jim Tomsula,49ers,16,5,11,0,0.3125,238,387,-149
2016,Chip Kelly,49ers,16,2,14,0,0.1250,309,480,-171
2017,Kyle Shanahan,49ers,16,6,10,0,0.3750,331,383,-52
2018,Kyle Shanahan,49ers,16,4,12,0,0.2500,342,435,-93
2019,Kyle Shanahan,49ers,16,13,3,0,0.8125,479,310,169
2020,Kyle Shanahan,49ers,16,6,10,0,0.3750,376,390,-14
2021,Kyle Shanahan,49ers,17,10,7,0,0.5882,427,365,62
2022,Kyle Shanahan,49ers,17,13,4,0,0.7647,450,277,173
2023,Kyle Shanahan,49ers,17,12,5,0,0.7059,491,298,193
2002,Marty Mornhinweg,Lions,16,3,13,0,0.1875,306,451,-145
2003,Steve Mariucci,Lions,16,5,11,0,0.3125,270,379,-109
2004,Steve Mariucci,Lions,16,6,10,0,0.3750,296,350,-54
2005,Steve Mariucci,Lions,11,4,7,0,0.3636,174,220,-46
2005,Dick Jauron,Lions,5,1,4,0,0.2000,80,125,-45
2006,Rod Marinelli,Lions,16,3,13,0,0.1875,305,398,-93
2007,Rod Marinelli,Lions,16,7,9,0,0.4375,346,444,-98
2008,Rod Marinelli,Lions,16,0,16,0,0.0000,268,517,-249
2009,Jim Schwartz,Lions,16,2,14,0,0.1250,262,494,-232
2010,Jim Schwartz,Lions,16,6,10,0,0.3750,362,369,-7
2011,Jim Schwartz,Lions,16,10,6,0,0.6250,474,387,87
2012,Jim Schwartz,Lions,16,4,12,0,0.2500,372,437,-65
2013,Jim Schwartz,Lions,16,7,9,0,0.4375,395,376,19
2014,Jim Caldwell,Lions,16,11,5,0,0.6875,321,282,39
2015,Jim Caldwell,Lions,16,7,9,0,0.4375,358,400,-42
2016,Jim Caldwell,Lions,16,9,7,0,0.5625,346,358,-12
2017,Jim Caldwell,Lions,16,9,7,0,0.5625,410,376,34
2018,Matt Patricia,Lions,16,6,10,0,0.3750,324,360,-36
2019,Matt Patricia,Lions,16,3,12,1,0.2000,341,423,-82
2020,Matt Patricia,Lions,11,4,7,0,0.3636,212,328,-116
2020,Darrell Bevell,Lions,5,1,4,0,0.2000,125,191,-66
2021,Dan Campbell,Lions,17,3,13,1,0.1875,325,467,-142
2022,Dan Campbell,Lions,17,9,8,0,0.5294,453,427,26
2023,Dan Campbell,Lions,17,12,5,0,0.7059,461,395,66
2002,Mike Trice,Vikings,16,6,10,0,0.3750,390,442,-52
2003,Mike Trice,Vikings,16,9,7,0,0.5625,416,353,63
2004,Mike Trice,Vikings,16,8,8,0,0.5000,405,395,10
2005,Mike Trice,Vikings,16,9,7,0,0.5625,306,344,-38
2006,Brad Childress,Vikings,16,6,10,0,0.3750,282,327,-45
2007,Brad Childress,Vikings,16,8,8,0,0.5000,365,311,54
2008,Brad Childress,Vikings,16,10,6,0,0.6250,379,333,46
2009,Brad Childress,Vikings,16,12,4,0,0.7500,470,312,158
2010,Brad Childress,Vikings,10,3,7,0,0.3000,172,226,-54
2010,Leslie Frazier,Vikings,6,3,3,0,0.5000,109,122,-13
2011,Leslie Frazier,Vikings,16,3,13,0,0.1875,340,449,-109
2012,Leslie Frazier,Vikings,16,10,6,0,0.6250,379,348,31
2013,Leslie Frazier,Vikings,16,5,10,1,0.3333,391,480,-89
2014,Mike Zimmer,Vikings,16,7,9,0,0.4375,325,343,-18
2015,Mike Zimmer,Vikings,16,11,5,0,0.6875,365,302,63
2016,Mike Zimmer,Vikings,16,8,8,0,0.5000,327,307,20
2017,Mike Zimmer,Vikings,16,13,3,0,0.8125,382,252,130
2018,Mike Zimmer,Vikings,16,8,7,1,0.5333,360,341,19
2019,Mike Zimmer,Vikings,16,10,6,0,0.6250,407,303,104
2020,Mike Zimmer,Vikings,16,7,9,0,0.4375,430,475,-45
2021,Mike Zimmer,Vikings,17,8,9,0,0.4706,425,426,-1
2022,Kevin O'Connell,Vikings,17,13,4,0,0.7647,424,427,-3
2023,Kevin O'Connell,Vikings,17,7,10,0,0.4118,344,362,-18
2002,Mike Sherman,Packers,16,12,4,0,0.7500,398,328,70
2003,Mike Sherman,Packers,16,10,6,0,0.6250,442,307,135
2004,Mike Sherman,Packers,16,10,6,0,0.6250,424,380,44
2005,Mike Sherman,Packers,16,4,12,0,0.2500,298,344,-46
2006,Mike McCarthy,Packers,16,8,8,0,0.5000,301,366,-65
2007,Mike McCarthy,Packers,16,13,3,0,0.8125,435,291,144
2008,Mike McCarthy,Packers,16,6,10,0,0.3750,419,380,39
2009,Mike McCarthy,Packers,16,11,5,0,0.6875,461,297,164
2010,Mike McCarthy,Packers,16,10,6,0,0.6250,388,240,148
2011,Mike McCarthy,Packers,16,15,1,0,0.9375,560,359,201
2012,Mike McCarthy,Packers,16,11,5,0,0.6875,433,336,97
2013,Mike McCarthy,Packers,16,8,7,1,0.5333,417,428,-11
2014,Mike McCarthy,Packers,16,12,4,0,0.7500,486,348,138
2015,Mike McCarthy,Packers,16,10,6,0,0.6250,368,323,45
2016,Mike McCarthy,Packers,16,10,6,0,0.6250,432,388,44
2017,Mike McCarthy,Packers,16,7,9,0,0.4375,320,384,-64
2018,Mike McCarthy,Packers,11,4,7,0,0.3636,281,277,4
2018,Joe Philibin,Packers,4,2,2,0,0.5000,95,113,-18
2019,Matt LaFleur,Packers,16,13,3,0,0.8125,376,313,63
2020,Matt LaFleur,Packers,16,13,3,0,0.8125,509,369,140
2021,Matt LaFleur,Packers,17,13,4,0,0.7647,450,371,79
2022,Matt LaFleur,Packers,17,8,9,0,0.4706,370,371,-1
2023,Matt LaFleur,Packers,17,9,8,0,0.5294,383,350,33
2002,Dick Jauron,Bears,16,4,12,0,0.2500,281,379,-98
2003,Dick Jauron,Bears,16,7,9,0,0.4375,283,346,-63
2004,Lovie Smith,Bears,16,5,11,0,0.3125,231,331,-100
2005,Lovie Smith,Bears,16,11,5,0,0.6875,260,202,58
2006,Lovie Smith,Bears,16,13,3,0,0.8125,427,255,172
2007,Lovie Smith,Bears,16,7,9,0,0.4375,334,348,-14
2008,Lovie Smith,Bears,16,9,7,0,0.5625,375,350,25
2009,Lovie Smith,Bears,16,7,9,0,0.4375,327,375,-48
2010,Lovie Smith,Bears,16,11,5,0,0.6875,334,286,48
2011,Lovie Smith,Bears,16,8,8,0,0.5000,353,341,12
2012,Lovie Smith,Bears,16,10,6,0,0.6250,375,277,98
2013,Marc Trestman,Bears,16,8,8,0,0.5000,445,478,-33
2014,Marc Trestman,Bears,16,5,11,0,0.3125,319,442,-123
2015,John Fox,Bears,16,6,10,0,0.3750,335,397,-62
2016,John Fox,Bears,16,3,13,0,0.1875,279,399,-120
2017,John Fox,Bears,16,5,11,0,0.3125,264,320,-56
2018,Matt Nagy,Bears,16,12,4,0,0.7500,421,283,138
2019,Matt Nagy,Bears,16,8,8,0,0.5000,280,298,-18
2020,Matt Nagy,Bears,16,8,8,0,0.5000,372,370,2
2021,Matt Nagy,Bears,17,6,11,0,0.3529,311,407,-96
2022,Matt Eberflus,Bears,17,3,14,0,0.1765,326,463,-137
2023,Matt Eberflus,Bears,17,7,10,0,0.4118,360,379,-19
2002,Dan Reeves,Falcons,16,9,6,1,0.6000,402,314,88
2003,Dan Reeves,Falcons,13,3,10,0,0.2308,241,342,-101
2003,Wade Phillips,Falcons,3,2,1,0,0.6667,58,80,-22
2004,Jim Mora,Falcons,16,11,5,0,0.6875,340,337,3
2005,Jim Mora,Falcons,16,8,8,0,0.5000,351,341,10
2006,Jim Mora,Falcons,16,7,9,0,0.4375,292,328,-36
2007,Bobby Petrino,Falcons,13,3,10,0,0.2308,185,306,-121
2007,Emmitt Thomas,Falcons,3,1,2,0,0.3333,74,108,-34
2008,Mike Smith,Falcons,16,11,5,0,0.6875,391,325,66
2009,Mike Smith,Falcons,16,9,7,0,0.5625,363,325,38
2010,Mike Smith,Falcons,16,13,3,0,0.8125,414,288,126
2011,Mike Smith,Falcons,16,10,6,0,0.6250,402,350,52
2012,Mike Smith,Falcons,16,13,3,0,0.8125,419,299,120
2013,Mike Smith,Falcons,16,4,12,0,0.2500,353,443,-90
2014,Mike Smith,Falcons,16,6,10,0,0.3750,381,417,-36
2015,Dan Quinn,Falcons,16,8,8,0,0.5000,339,345,-6
2016,Dan Quinn,Falcons,16,11,5,0,0.6875,540,406,134
2017,Dan Quinn,Falcons,16,10,6,0,0.6250,353,315,38
2018,Dan Quinn,Falcons,16,7,9,0,0.4375,414,423,-9
2019,Dan Quinn,Falcons,16,7,9,0,0.4375,381,399,-18
2020,Dan Quinn,Falcons,5,0,5,0,0.0000,148,93,55
2020,Raheem Morris,Falcons,11,4,7,0,0.3636,325,262,63
2021,Arthur Smith,Falcons,17,7,10,0,0.4118,313,459,-146
2022,Arthur Smith,Falcons,17,7,10,0,0.4118,365,386,-21
2023,Arthur Smith,Falcons,17,7,10,0,0.4118,321,373,-52
2002,Jon Gruden,Buccaneers,16,12,4,0,0.7500,346,196,150
2003,Jon Gruden,Buccaneers,16,7,9,0,0.4375,301,264,37
2004,Jon Gruden,Buccaneers,16,5,11,0,0.3125,301,304,-3
2005,Jon Gruden,Buccaneers,16,11,5,0,0.6875,300,274,26
2006,Jon Gruden,Buccaneers,16,4,12,0,0.2500,211,353,-142
2007,Jon Gruden,Buccaneers,16,9,7,0,0.5625,334,270,64
2008,Jon Gruden,Buccaneers,16,9,7,0,0.5625,361,323,38
2009,Raheem Morris,Buccaneers,16,3,13,0,0.1875,244,400,-156
2010,Raheem Morris,Buccaneers,16,10,6,0,0.6250,341,318,23
2011,Raheem Morris,Buccaneers,16,4,12,0,0.2500,287,494,-207
2012,Greg Schiano,Buccaneers,16,7,9,0,0.4375,389,394,-5
2013,Greg Schiano,Buccaneers,16,4,12,0,0.2500,288,389,-101
2014,Lovie Smith,Buccaneers,16,2,14,0,0.1250,277,410,-133
2015,Lovie Smith,Buccaneers,16,6,10,0,0.3750,342,417,-75
2016,Dirk Koetter,Buccaneers,16,9,7,0,0.5625,354,369,-15
2017,Dirk Koetter,Buccaneers,16,5,11,0,0.3125,335,382,-47
2018,Dirk Koetter,Buccaneers,16,5,11,0,0.3125,396,464,-68
2019,Bruce Arians,Buccaneers,16,7,9,0,0.4375,458,449,9
2020,Bruce Arians,Buccaneers,16,11,5,0,0.6875,492,355,137
2021,Bruce Arians,Buccaneers,17,13,4,0,0.7647,511,353,158
2022,Todd Bowles,Buccaneers,17,8,9,0,0.4706,313,358,-45
2023,Todd Bowles,Buccaneers,17,9,8,0,0.5294,348,325,23
2002,Jim Haslett,Saints,16,9,7,0,0.5625,432,388,44
2003,Jim Haslett,Saints,16,8,8,0,0.5000,340,326,14
2004,Jim Haslett,Saints,16,8,8,0,0.5000,348,405,-57
2005,Jim Haslett,Saints,16,3,13,0,0.1875,235,398,-163
2006,Sean Payton,Saints,16,10,6,0,0.6250,413,322,91
2007,Sean Payton,Saints,16,7,9,0,0.4375,379,388,-9
2008,Sean Payton,Saints,16,8,8,0,0.5000,463,393,70
2009,Sean Payton,Saints,16,13,3,0,0.8125,510,341,169
2010,Sean Payton,Saints,16,11,5,0,0.6875,384,307,77
2011,Sean Payton,Saints,16,13,3,0,0.8125,547,339,208
2012,Aaron Kromer,Saints,6,2,4,0,0.3333,176,182,-6
2012,Joe Vitt,Saints,10,5,5,0,0.5000,285,272,13
2013,Sean Payton,Saints,16,11,5,0,0.6875,414,304,110
2014,Sean Payton,Saints,16,7,9,0,0.4375,401,424,-23
2015,Sean Payton,Saints,16,7,9,0,0.4375,408,476,-68
2016,Sean Payton,Saints,16,7,9,0,0.4375,469,454,15
2017,Sean Payton,Saints,16,11,5,0,0.6875,448,326,122
2018,Sean Payton,Saints,16,7,9,0,0.4375,504,353,151
2019,Sean Payton,Saints,16,13,3,0,0.8125,458,341,117
2020,Sean Payton,Saints,16,12,4,0,0.7500,482,337,145
2021,Sean Payton,Saints,17,9,8,0,0.5294,364,335,29
2022,Dennis Allen,Saints,17,7,10,0,0.4118,330,345,-15
2023,Dennis Allen,Saints,17,9,8,0,0.5294,402,327,75
2002,John Fox,Panthers,16,7,9,0,0.4375,258,302,-44
2003,John Fox,Panthers,16,11,5,0,0.6875,325,304,21
2004,John Fox,Panthers,16,7,9,0,0.4375,355,339,16
2005,John Fox,Panthers,16,11,5,0,0.6875,391,259,132
2006,John Fox,Panthers,16,8,8,0,0.5000,270,305,-35
2007,John Fox,Panthers,16,7,9,0,0.4375,267,347,-80
2008,John Fox,Panthers,16,12,4,0,0.7500,414,329,85
2009,John Fox,Panthers,16,8,8,0,0.5000,315,308,7
2010,John Fox,Panthers,16,2,14,0,0.1250,196,408,-212
2011,Ron Rivera,Panthers,16,6,10,0,0.3750,406,429,-23
2012,Ron Rivera,Panthers,16,7,9,0,0.4375,357,363,-6
2013,Ron Rivera,Panthers,16,12,4,0,0.7500,366,241,125
2014,Ron Rivera,Panthers,16,7,8,1,0.4667,339,374,-35
2015,Ron Rivera,Panthers,16,15,1,0,0.9375,500,308,192
2016,Ron Rivera,Panthers,16,6,10,0,0.3750,369,402,-33
2017,Ron Rivera,Panthers,16,11,5,0,0.6875,363,327,36
2018,Ron Rivera,Panthers,16,7,9,0,0.4375,376,382,-6
2019,Ron Rivera,Panthers,12,5,7,0,0.4167,280,320,-40
2019,Perry Fewell,Panthers,4,0,4,0,0.0000,60,150,-90
2020,Matt Rhule,Panthers,16,5,11,0,0.3125,350,402,-52
2021,Matt Rhule,Panthers,17,5,12,0,0.2941,304,404,-100
2022,Matt Rhule,Panthers,5,1,4,0,0.2000,93,122,-29
2022,Steve Wilks,Panthers,12,6,6,0,0.5000,254,252,2
2023,Frank Reich,Panthers,11,1,10,0,0.0909,173,292,-119
2023,Chris Tabor,Panthers,6,1,5,0,0.1667,63,124,-61
